252,Pat Connaughton,MIL,6,16.0,3.8,1.3,4.5,29.6,0.8,3.2,26.3,0.3,0.3,100,0.7,2.5,3.2,1.3,0.0,0.2,0.7,4.7
252,Trey Lyles,SAC,6,16.2,3.8,1.2,4.7,25.0,0.8,3.5,23.8,0.7,0.7,100,0.5,3.0,3.5,0.8,0.8,0.8,0.5,5.8
256,Spencer Dinwiddie,DAL,5,14.4,3.6,0.8,3.2,25.0,0.8,2.6,30.8,1.2,1.6,75.0,0.0,0.8,0.8,1.6,0.2,0.4,0.4,3.4
257,Cody Williams,UTA,6,22.3,3.5,1.2,5.8,20.0,0.5,3.7,13.6,0.7,0.7,100,0.7,2.2,2.8,1.0,0.5,0.2,0.8,2.5
257,Monté Morris,PHX,6,9.3,3.5,1.0,2.8,35.3,0.5,1.7,30.0,1.0,1.3,75.0,0.3,0.8,1.2,1.5,0.5,0.2,0.2,4.5
257,Quentin Grimes,DAL,6,12.2,3.5,1.2,3.3,35.0,0.7,1.8,36.4,0.5,0.8,60.0,0.2,1.5,1.7,0.2,0.5,0.2,0.5,3.0
260,AJ Green,MIL,5,7.2,3.4,1.0,2.2,45.5,1.0,2.2,45.5,0.4,0.4,100,0.0,0.4,0.4,0.6,0.2,0.0,0.2,3.2
261,Naji Marshall,DAL,6,18.5,3.3,1.3,4.3,30.8,0.0,1.5,0.0,0.7,0.7,100,0.3,2.8,3.2,3.2,1.0,0.2,0.5,7.3
261,Nicolas Batum,LAC,6,19.2,3.3,1.0,3.2,31.6,0.7,2.5,26.7,0.7,1.0,66.7,0.7,2.5,3.2,2.7,0.5,1.0,0.5,7.7
263,Blake Wesley,SAS,6,7.8,3.2,1.2,3.3,35.0,0.2,1.2,14.3,0.7,1.0,66.7,0.3,0.3,0.7,1.0,0.0,0.0,0.8,1.5
263,Cole Anthony,ORL,6,13.0,3.2,1.2,4.3,26.9,0.3,2.0,16.7,0.5,1.2,42.9,0.3,1.8,2.2,2.7,0.8,0.2,1.7,3.5
263,Gabe Vincent,LAL,6,17.7,3.2,1.3,4.5,29.6,0.5,2.7,18.8,0.0,0.0,0.0,0.3,0.8,1.2,0.7,0.7,0.0,0.5,2.0
266,Isaiah Stewart,DET,7,18.7,3.0,0.9,2.0,42.9,0.0,0.4,0.0,1.3,1.3,100,2.4,4.0,6.4,1.9,0.7,1.3,1.6,10.6
